raw_database_id,pokedexNumber,cardName,rarity,series,cardNumber,type,imageUrl,status,price
EodUwUHaL1foSSFvBNzI,,M거북왕 EX,SR,XY BREAK 확장팩 BASE PACK 20th Anniversary,106/100,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_106.jpg,미보유,0
iMwqF6U0TyGGC8gkvTJm,,M리자몽 EX,SR,XY BREAK 확장팩 BASE PACK 20th Anniversary,104/100,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_104.jpg,미보유,0
9IpK5diPDDGhsCXvOk9H,,M이상해꽃 EX,SR,XY BREAK 확장팩 BASE PACK 20th Anniversary,102/100,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_102.jpg,미보유,0
8u7SGb0LFH7SIYbLQ5nO,,N의 조로아크 ex,SAR,sv9 -「배틀파트너즈」,SV9-127,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9/SV9_127.png,미보유,0
DJGz29gQpP8XbN0v9BRy,,N의 조로아크 ex,SR,sv9 -「배틀파트너즈」,SV9-117,포켓몬,https://mtg-kr.com/cardimage/poketcgSV9-117.png,보유중,0
UoybzsTbWK96Z7PVqkKD,,N의 조로아크 ex,UR,sv9 -「배틀파트너즈」,SV9-131,포켓몬,https://mtg-kr.com/cardimage/poketcgSV9-131.png,보유중,0
3lbrG1DxNmnFTfyXhcfV,,N의 조로아크 ex,SAR,m2a -「메가드림」,M2a-242,포켓몬,https://mtg-kr.com/cardimage/poketcgM2a-242.png,미보유,0
Y5q4fU3Dv7qjAyYXY29m,282,가디안,CHR,s11a -「백열의 아르카나」,S11a-072,포켓몬,https://mtg-kr.com/cardimage/poketcgS11a-072.png,보유중,0
4dzM1ONgIHBOpx2tht6Z,282,가디안 ex,SAR,sv4a -「샤이니트레저 ex」,SV4a-348,포켓몬,https://mtg-kr.com/cardimage/poketcgSV4a-348.png,미보유,0
MvIhCjwpIgIWML9qQjdL,282,가디안 ex,SSR,sv4a -「샤이니트레저 ex」,SV4a-328,포켓몬,https://mtg-kr.com/cardimage/poketcgSV4a-328.png,보유중,0
XIH0ZCqzURDerNg3rsAJ,282,가디안 ex,SAR,sv1S -「스칼렛 ex」,SV1S-101,포켓몬,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1S/SV1S_101.png,미보유,0
iOUb4rt3OFPE1yaH0Q0T,,가라르 가로막구리,CHR,s8b -「VMAX 클라이맥스」,S8b-207,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-207.png,보유중,0
bJtNrInFWkqXqJ7r15RK,,가라르 나이킹 V,SR,s11 -「로스트어비스」,S11-109,포켓몬,https://mtg-kr.com/cardimage/poketcgS11-109.png,보유중,0
2VlgW7VhAt3FmEnNIGvg,145,가라르 썬더,AR,s12a -「VSTAR 유니버스」,S12a-188,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-188.png,보유중,0
WdQG912tqgV3nzV6eBMP,145,가라르 썬더 V,CSR,s8b -「VMAX 클라이맥스」,S8b-237,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-237.png,미보유,0
YH2Gha5oDlWOmutqW1mr,146,가라르 파이어,AR,s12a -「VSTAR 유니버스」,S12a-190,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-190.png,보유중,0
aAo8b9zgJqDFet2S63EK,146,가라르 파이어 V,CSR,s8b -「VMAX 클라이맥스」,S8b-242,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-242.png,미보유,0
4cq9O3PLCV7jkkjClSAC,144,가라르 프리져,AR,s12a -「VSTAR 유니버스」,S12a-182,포켓몬,https://mtg-kr.com/cardimage/poketcgS12a-182.png,보유중,0
wQFzz2RB41aI0j0WL9XE,144,가라르 프리져 V,CSR,s8b -「VMAX 클라이맥스」,S8b-230,포켓몬,https://mtg-kr.com/cardimage/poketcgS8b-230.png,미보유,0
