raw_database_id,isLegacy,pokedexNumber,type,series,imageUrl,cardName,status,cardNumber,price,보유 여부,rarity,displayOrder
pcYbiY9hhq8yDYUmCBl5,true,,포켓몬,sv11W -「화이트플레어」,https://mtg-kr.com/cardimage/poketcgSV11W-168.png,레시라무 ex,등급카드,SV11W-168,0,,SAR,201
cey3VIzP996Q1iUnZEci,true,,포켓몬,sm8b -「울트라샤이니」,https://mtg-kr.com/cardimage/poketcgSM8b-211.png,레시라무 GX,미보유,SM8b-211,0,,SSR,202
dlTateGzgsamqbdDPBTG,true,,포켓몬,s11a -「백열의 아르카나」,https://mtg-kr.com/cardimage/poketcgS11a-076.png,레시라무 V,미보유,S11a-076,0,,SR,203
WvPIWKyixJKXD6VlYXnQ,true,,포켓몬,sm11b -「드림리그」,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_064.png,레시라무&제크로무 GX,미보유,SM11b-064,0,,SR,204
2WEkJKnnnEXWBorkxy6n,true,,포켓몬,sv8 -「초전브레이커」,https://mtg-kr.com/cardimage/poketcgSV8-112.png,레어코일,보유중,SV8-112,0,,AR,205
Ypl5SK3YcXMSSDqQU2xx,true,,포켓몬,s12a -「VSTAR 유니버스」,https://mtg-kr.com/cardimage/poketcgS12a-233.png,레지기가스 Vstar,미보유,S12a-233,0,,SAR,206
4YJSee16SlxIIIbtHDKv,true,,포켓몬,sm8b -「울트라샤이니」,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_240.png,레쿠쟈 GX,등급카드,SM8b-240,0,,SSR,207
lu4lJMTpnP9UFlITkx7k,true,,포켓몬,s7R -「창공스트림」,https://mtg-kr.com/cardimage/poketcgS7R-076.png,레쿠쟈 V,보유중,S7r-076,0,,SR,208
1OxlLAOiQPSr7FpnzHF5,true,,포켓몬,s8b -「VMAX 클라이맥스」,https://mtg-kr.com/cardimage/poketcgS8b-252.png,레쿠쟈 Vmax,등급카드,S8b-252,0,,CSR,209
Wi9MbZEYb4h9Vxd6BcHM,true,,포켓몬,s9a -「배틀리전」,https://mtg-kr.com/cardimage/poketcgS9a-068.png,로즈레이드,보유중,S9a-068,0,,CHR,210
ceZcIGDRuyKX3axOI9b1,true,,포켓몬,sv10 -「로켓단의 영광」,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_126.png,로켓단의 니드킹 ex,미보유,SV10-126,0,,SAR,211
