raw_database_id,series,cardNumber,isLegacy,imageUrl,rarity,cardName,type,pokedexNumber,price,status,possessions,createdAt
,s8b -「VMAX 클라이맥스」,S8b-272,true,https://mtg-kr.com/cardimage/poketcgS8b-272.png,SR,어니언,서포트,,0,미보유,,
,s6a -「이브이 히어로즈」,S6a-085,,https://mtg-kr.com/cardimage/poketcgS6a-085.png,SR,블래키 V,포켓몬,,0,보유중,,
,m2a -「메가드림」,M2a-216,true,https://mtg-kr.com/cardimage/poketcgM2a-216.png,SR,,,,0,미보유,,
,sv11B -「블랙볼트」,SV11B-093,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_093.png,AR,마라카치,,,0,보유중,,
,sv3a -「레이징서프」,SV3a-091,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_091.png,UR,,,,0,미보유,,
,sv11B -「블랙볼트」,SV11B-135,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_135.png,AR,돌살이,,,0,보유중,,
,sv2P -「스노해저드」,SV2P-084,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_084.png,SR,,,,0,미보유,,
,sv2P -「스노해저드」,SV2P-078,,https://mtg-kr.com/cardimage/poketcgSV2P-078.png,AR,고디보미,포켓몬,,0,보유중,,
,s11a -「백열의 아르카나」,S11a-089,true,https://mtg-kr.com/cardimage/poketcgS11a-089.png,HR,,,,0,미보유,,
,s10a -「다크판타스마」,S10a-097,true,https://mtg-kr.com/cardimage/poketcgS10a-097.png,,,,,0,미보유,,
,sv9 -「배틀파트너즈」,SV9-109,true,https://mtg-kr.com/cardimage/poketcgSV9-109.png,AR,,,,0,보유중,,
,sv4M -「미래의 일섬」,SV4M-094,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_094.png,UR,,,,0,미보유,,
,sv11B -「블랙볼트」,SV11B-136,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,AR,,,,0,보유중,,
,sv10 -「로켓단의 영광」,SV10-117,true,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_117.png,SR,,,,0,보유중,,
,sv3 - 「흑염의 지배자」,SV3-130,true,https://mtg-kr.com/cardimage/poketcgSV3-130.png,SR,뽀삐,,,0,보유중,,
,sv9 -「배틀파트너즈」,SV9-112,true,https://mtg-kr.com/cardimage/poketcgSV9-112.png,AR,호브의 우르,,,0,보유중,,
,sv8a -「테라스탈 페스타 ex」,SV8a-223,true,https://mtg-kr.com/cardimage/poketcgSV8a-223.png,SAR,이브이 ex,,,0,보유중,,
