raw_database_id,cardName,status,price,isLegacy,pokedexNumber,imageUrl,possessions,type,cardNumber,rarity,series,createdAt
,어니언,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS8b-272.png,,서포트,S8b-272,SR,s8b -「VMAX 클라이맥스」,
,블래키 V,보유중,0,,,https://mtg-kr.com/cardimage/poketcgS6a-085.png,,포켓몬,S6a-085,SR,s6a -「이브이 히어로즈」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgM2a-216.png,,,M2a-216,SR,m2a -「메가드림」,
,마라카치,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_093.png,,,SV11B-093,AR,sv11B -「블랙볼트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_091.png,,,SV3a-091,UR,sv3a -「레이징서프」,
,돌살이,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_135.png,,,SV11B-135,AR,sv11B -「블랙볼트」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_084.png,,,SV2P-084,SR,sv2P -「스노해저드」,
,고디보미,보유중,0,,,https://mtg-kr.com/cardimage/poketcgSV2P-078.png,,포켓몬,SV2P-078,AR,sv2P -「스노해저드」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS11a-089.png,,,S11a-089,HR,s11a -「백열의 아르카나」,
,,미보유,0,true,,https://mtg-kr.com/cardimage/poketcgS10a-097.png,,,S10a-097,,s10a -「다크판타스마」,
,,보유중,0,true,,https://mtg-kr.com/cardimage/poketcgSV9-109.png,,,SV9-109,AR,sv9 -「배틀파트너즈」,
,,미보유,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_094.png,,,SV4M-094,UR,sv4M -「미래의 일섬」,
,,보유중,0,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,,,SV11B-136,AR,sv11B -「블랙볼트」,
