raw_database_id,pokedexNumber,isLegacy,cardName,imageUrl,type,possessions,status,series,cardNumber,rarity,createdAt,price
,,true,어니언,https://mtg-kr.com/cardimage/poketcgS8b-272.png,서포트,,미보유,s8b -「VMAX 클라이맥스」,S8b-272,SR,,0
,,,블래키 V,https://mtg-kr.com/cardimage/poketcgS6a-085.png,포켓몬,,보유중,s6a -「이브이 히어로즈」,S6a-085,SR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgM2a-216.png,,,미보유,m2a -「메가드림」,M2a-216,SR,,0
,,true,마라카치,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_093.png,,,보유중,sv11B -「블랙볼트」,SV11B-093,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_091.png,,,미보유,sv3a -「레이징서프」,SV3a-091,UR,,0
,,true,돌살이,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_135.png,,,보유중,sv11B -「블랙볼트」,SV11B-135,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_084.png,,,미보유,sv2P -「스노해저드」,SV2P-084,SR,,0
,,,고디보미,https://mtg-kr.com/cardimage/poketcgSV2P-078.png,포켓몬,,보유중,sv2P -「스노해저드」,SV2P-078,AR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS11a-089.png,,,미보유,s11a -「백열의 아르카나」,S11a-089,HR,,0
,,true,,https://mtg-kr.com/cardimage/poketcgS10a-097.png,,,미보유,s10a -「다크판타스마」,S10a-097,,,0
,,true,,https://mtg-kr.com/cardimage/poketcgSV9-109.png,,,보유중,sv9 -「배틀파트너즈」,SV9-109,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_094.png,,,미보유,sv4M -「미래의 일섬」,SV4M-094,UR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,,,보유중,sv11B -「블랙볼트」,SV11B-136,AR,,0
,,true,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_117.png,,,보유중,sv10 -「로켓단의 영광」,SV10-117,SR,,0
