raw_database_id,price,status,possessions,createdAt,type,isLegacy,cardName,series,rarity,cardNumber,pokedexNumber,imageUrl
,0,미보유,,,서포트,true,어니언,s8b -「VMAX 클라이맥스」,SR,S8b-272,,https://mtg-kr.com/cardimage/poketcgS8b-272.png
,0,보유중,,,포켓몬,,블래키 V,s6a -「이브이 히어로즈」,SR,S6a-085,,https://mtg-kr.com/cardimage/poketcgS6a-085.png
,0,미보유,,,,true,,m2a -「메가드림」,SR,M2a-216,,https://mtg-kr.com/cardimage/poketcgM2a-216.png
,0,보유중,,,,true,마라카치,sv11B -「블랙볼트」,AR,SV11B-093,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_093.png
,0,미보유,,,,true,,sv3a -「레이징서프」,UR,SV3a-091,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_091.png
,0,보유중,,,,true,돌살이,sv11B -「블랙볼트」,AR,SV11B-135,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_135.png
,0,미보유,,,,true,,sv2P -「스노해저드」,SR,SV2P-084,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_084.png
,0,보유중,,,포켓몬,,고디보미,sv2P -「스노해저드」,AR,SV2P-078,,https://mtg-kr.com/cardimage/poketcgSV2P-078.png
,0,미보유,,,,true,,s11a -「백열의 아르카나」,HR,S11a-089,,https://mtg-kr.com/cardimage/poketcgS11a-089.png
,0,미보유,,,,true,,s10a -「다크판타스마」,,S10a-097,,https://mtg-kr.com/cardimage/poketcgS10a-097.png
,0,보유중,,,,true,,sv9 -「배틀파트너즈」,AR,SV9-109,,https://mtg-kr.com/cardimage/poketcgSV9-109.png
,0,미보유,,,,true,,sv4M -「미래의 일섬」,UR,SV4M-094,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_094.png
,0,보유중,,,,true,,sv11B -「블랙볼트」,AR,SV11B-136,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png
,0,보유중,,,,true,,sv10 -「로켓단의 영광」,SR,SV10-117,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_117.png
,0,보유중,,,,true,뽀삐,sv3 - 「흑염의 지배자」,SR,SV3-130,,https://mtg-kr.com/cardimage/poketcgSV3-130.png
,0,보유중,,,,true,호브의 우르,sv9 -「배틀파트너즈」,AR,SV9-112,,https://mtg-kr.com/cardimage/poketcgSV9-112.png
,0,보유중,,,,true,이브이 ex,sv8a -「테라스탈 페스타 ex」,SAR,SV8a-223,,https://mtg-kr.com/cardimage/poketcgSV8a-223.png
,0,미보유,,,,true,,sv2P -「스노해저드」,UR,SV2P-099,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2P/SV2P_099.png
,0,보유중,,,포켓몬,,라티오스,sv7a -「낙원드래고나」,AR,SV7a-070,,https://mtg-kr.com/cardimage/poketcgSV7a-070.png
,0,보유중,,,,true,돈크로우 V,s9 -「스타버스」,SR,S9-109,,https://mtg-kr.com/cardimage/poketcgS9-109.png
,0,미보유,,,,true,,sv5M -「사이버저지」,SR,SV5M-089,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_089.png
,0,보유중,,,,true,,sv10 -「로켓단의 영광」,AR,SV10-105,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV10/SV10_105.png
,0,미보유,,,포켓몬,,,sm6a -「드래곤스톰」,SR,SM6a-056,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM6A/SM6A_056.png
,0,보유중,,,포켓몬,,기기어르,sv11W -「화이트플레어」,AR,SV11W-147,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_147.png
