raw_database_id,rarity,cardName,price,series,status,createdAt,possessions,pokedexNumber,imageUrl,cardNumber,type,isLegacy
015qT1zGk2QFhkV8mvwd,SR,,0,sm10b -「스카이레전드」,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM10B/SM10B_057.png,SM10b-057,포켓몬,
01JCRXnFUtYpA1IcGupN,CHR,,0,s8b -「VMAX 클라이맥스」,보유중,,,,https://mtg-kr.com/cardimage/poketcgS8b-193.png,S8b-193,,true
03Qafj1XOrufcq01i1e0,S,,0,sm8b -「울트라샤이니」,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_174.png,SM8b-174,,true
04MOo9qBCSIKlHVoJDGT,AR,야부엉,0,sv7 -「스텔라미라클」,보유중,,,,https://mtg-kr.com/cardimage/poketcgSV7-114.png,SV7-114,,true
05riiGDaqzPqlE0fcIKT,AR,,0,sv11B -「블랙볼트」,보유중,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,SV11B-136,,true
06oXw64Iwj60XJi5gv2M,SAR,몰드류 ex,0,sv11B -「블랙볼트」,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_171.png,SV11B-171,,true
08Np7GAz9kiJqAh5BIzf,AR,리자드,0,sv2a -「포켓몬 카드 151」,보유중,,,5,https://mtg-kr.com/cardimage/poketcgSV2a-169.png,SV2a-169,포켓몬,true
0EWLGt6q7odCSfNgytTc,SR,원규,0,s9a -「배틀리전」,미보유,,,,https://mtg-kr.com/cardimage/poketcgS9a-081.png,S9a-081,,true
0IEuXGbaLjCTCob9ZqaX,SAR,지니어,0,sv1S -「스칼렛 ex」,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1S/SV1S_105.png,SV1S-105,포켓몬,true
0KwqiNogOhStQHi6IFUr,SR,M거북왕 EX,0,XY BREAK 확장팩 BASE PACK 20th Anniversary,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_106.jpg,106/100,포켓몬,
0M6F8TFys1SUc9hz4sBs,AR,나오하,0,sv1a -「트리플렛비트」,보유중,,,0906,https://mtg-kr.com/cardimage/poketcgSV1a-075.png,SV1a-75,포켓몬,
0OC56UKbQjV6KnduUUh3,SAR,비주기의 카리스마,0,sv2a -「포켓몬 카드 151」,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2A/SV2A_207.png,SV2a-207,,true
0Q5mpVm9INUhtdGCrapF,HR,,0,s10P -「스페이스 저글러」,미보유,,,,https://mtg-kr.com/cardimage/poketcgS10P-081.png,S10P-081,,true
0VMP4nOcVJUfWRrVB0Xh,CHR,강철톤,0,sm11b -「드림리그」,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM11B/SM11B_060.png,SM11b-060,포켓몬,
0ZSC8GYHVN7ad63SGxpC,SAR,무쇠손 ex,0,sv4M -「미래의 일섬」,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_088.png,SV4M-088,포켓몬,true
0bP5YLDuCKlvFxX8HMrN,BWR,제크로무 ex,0,sv11B -「블랙볼트」,등급카드,,,,https://mtg-kr.com/cardimage/poketcgSV11B-174.png,SV11B-174,포켓몬,true
0f074kYqfUk0Gd7uuZLg,SR,,0,sv9a -「열풍의 아레나」,보유중,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV9A/SV9A_080.png,SV9a-080,,true
0g6rKGsBO2piw56mCgI1,SAR,웨이니발 ex,0,sv1a -「트리플렛비트」,보유중,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1A/SV1A_098.png,SV1a-098,,true
0g8hLF3PiyUjutAi3fsK,SR,월로,0,s10a -「다크판타스마」,미보유,,,,https://mtg-kr.com/cardimage/poketcgS10a-087.png,S10a-087,,true
0hSoZXM67oVGI4kjPW5t,AR,,0,sv3a -「레이징서프」,보유중,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV3A/SV3A_074.png,SV3a-074,,true
0n0yTMGgv3CpH8u687EP,AR,수댕이,0,sv11W -「화이트플레어」,보유중,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_102.png,SV11W-102,,true
0p6B6g19xke1OwKxzemK,AR,,0,sv11W -「화이트플레어」,보유중,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_088.png,SV11W-088,,true
0pJbJaSPkp9jZrZFjyzI,SAR,무쇠감투 ex,0,sv5M -「사이버저지」,미보유,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV5M/SV5M_094.png,SV5M-094,포켓몬,true
0seyeelA2ksRUVOnO31u,AR,,0,sv6a -「나이트원더러」,보유중,,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV6A/SV6A_067.png,SV6a-067,,true
