raw_database_id,series,type,status,isLegacy,imageUrl,pokedexNumber,rarity,createdAt,cardNumber,price,possessions,cardName
015qT1zGk2QFhkV8mvwd,sm10b -「스카이레전드」,포켓몬,미보유,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM10B/SM10B_057.png,,SR,,SM10b-057,0,,
01JCRXnFUtYpA1IcGupN,s8b -「VMAX 클라이맥스」,포켓몬,보유중,TRUE,https://mtg-kr.com/cardimage/poketcgS8b-193.png,,CHR,,S8b-193,0,,
03Qafj1XOrufcq01i1e0,sm8b -「울트라샤이니」,,미보유,TRUE,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM8B/SM8B_174.png,,S,,SM8b-174,0,,
04MOo9qBCSIKlHVoJDGT,sv7 -「스텔라미라클」,포켓몬,보유중,TRUE,https://mtg-kr.com/cardimage/poketcgSV7-114.png,,AR,,SV7-114,0,,야부엉
05riiGDaqzPqlE0fcIKT,sv11B -「블랙볼트」,포켓몬,보유중,TRUE,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,,AR,,SV11B-136,0,,
06oXw64Iwj60XJi5gv2M,sv11B -「블랙볼트」,,미보유,TRUE,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_171.png,,SAR,,SV11B-171,0,,몰드류 ex
08Np7GAz9kiJqAh5BIzf,sv2a -「포켓몬 카드 151」,포켓몬,보유중,TRUE,https://mtg-kr.com/cardimage/poketcgSV2a-169.png,5,AR,,SV2a-169,0,,리자드
0EWLGt6q7odCSfNgytTc,s9a -「배틀리전」,,미보유,TRUE,https://mtg-kr.com/cardimage/poketcgS9a-081.png,,SR,,S9a-081,0,,원규
0IEuXGbaLjCTCob9ZqaX,sv1S -「스칼렛 ex」,포켓몬,미보유,TRUE,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV1S/SV1S_105.png,,SAR,,SV1S-105,0,,지니어
0KwqiNogOhStQHi6IFUr,XY BREAK 확장팩 BASE PACK 20th Anniversary,포켓몬,미보유,,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_106.jpg,,SR,,106/100,0,,M거북왕 EX
0M6F8TFys1SUc9hz4sBs,sv1a -「트리플렛비트」,포켓몬,보유중,,https://mtg-kr.com/cardimage/poketcgSV1a-075.png,906,AR,,SV1a-075,0,,나오하
0OC56UKbQjV6KnduUUh3,sv2a -「포켓몬 카드 151」,,미보유,TRUE,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV2A/SV2A_207.png,,SAR,,SV2a-207,0,,비주기의 카리스마
