raw_database_id,pokedexNumber,isLegacy,rarity,imageUrl,cardNumber,cardName,type,possessions,status,createdAt,language,series,price
015qT1zGk2QFhkV8mvwd,,,SR,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM10B/SM10B_057.png,SM10b-057,,포켓몬,,미보유,,,sm10b -「스카이레전드」,0
01JCRXnFUtYpA1IcGupN,,TRUE,CHR,https://mtg-kr.com/cardimage/poketcgS8b-193.png,S8b-193,쥬피썬더,포켓몬,,보유중,,,s8b -「VMAX 클라이맥스」,0
03Qafj1XOrufcq01i1e0,,TRUE,S,https://mtg-kr.com/cardimage/poketcgSM8b-174.png,SM8b-174,,,,미보유,,,sm8b -「울트라샤이니」,0
04MOo9qBCSIKlHVoJDGT,,TRUE,AR,https://mtg-kr.com/cardimage/poketcgSV7-114.png,SV7-114,야부엉,포켓몬,,보유중,,,sv7 -「스텔라미라클」,0
05riiGDaqzPqlE0fcIKT,,TRUE,AR,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,SV11B-136,,포켓몬,,보유중,,,sv11B -「블랙볼트」,0
06oXw64Iwj60XJi5gv2M,,TRUE,SAR,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_171.png,SV11B-171,몰드류 ex,,,미보유,,,sv11B -「블랙볼트」,0
08Np7GAz9kiJqAh5BIzf,5,TRUE,AR,https://mtg-kr.com/cardimage/poketcgSV2a-169.png,SV2a-169,리자드,포켓몬,,보유중,,한국,sv2a -「포켓몬 카드 151」,0
0EWLGt6q7odCSfNgytTc,,TRUE,SR,https://mtg-kr.com/cardimage/poketcgS9a-081.png,S9a-081,원규,,,미보유,,,s9a -「배틀리전」,0
0G4DhsQLWk4hmcPT0m6r,,,SR,https://mtg-kr.com/cardimage/poketcgSM12a-179.png,SM12a-179,대로트&야느와르몽 GX,,,,,,sm12a -「TAG TEAM GX 태그올스타즈」,0
0IEuXGbaLjCTCob9ZqaX,,TRUE,SAR,https://mtg-kr.com/cardimage/poketcgSV1S-105.png,SV1S-105,지니어,포켓몬,,미보유,,,sv1S -「스칼렛 ex」,0
0KwqiNogOhStQHi6IFUr,,,SR,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_106.jpg,106/100,M거북왕 EX,포켓몬,,미보유,,,XY BREAK 확장팩 BASE PACK 20th Anniversary,0
0M6F8TFys1SUc9hz4sBs,906,,AR,https://mtg-kr.com/cardimage/poketcgSV1a-075.png,SV1a-075,나오하,포켓몬,,보유중,,,sv1a -「트리플렛비트」,0
0OC56UKbQjV6KnduUUh3,,TRUE,SAR,https://mtg-kr.com/cardimage/poketcgSV2a-207.png,SV2a-207,비주기의 카리스마,,,미보유,,,sv2a -「포켓몬 카드 151」,0
0Q5mpVm9INUhtdGCrapF,,TRUE,HR,https://mtg-kr.com/cardimage/poketcgS10P-081.png,S10P-081,,,,미보유,,,s10P -「스페이스 저글러」,0
0VMP4nOcVJUfWRrVB0Xh,,,CHR,https://mtg-kr.com/cardimage/poketcgSM11b-060.png,SM11b-060,강철톤,포켓몬,,미보유,,한국,sm11b -「드림리그」,0
0ZSC8GYHVN7ad63SGxpC,,TRUE,SAR,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_088.png,SV4M-088,무쇠손 ex,포켓몬,,미보유,,,sv4M -「미래의 일섬」,0
0bP5YLDuCKlvFxX8HMrN,644,TRUE,BWR,https://mtg-kr.com/cardimage/poketcgSV11B-174.png,SV11B-174,제크로무 ex,포켓몬,,보유중,,한국,sv11B -「블랙볼트」,0
0f074kYqfUk0Gd7uuZLg,,TRUE,SR,https://mtg-kr.com/cardimage/poketcgSV9a-080.png,SV9a-080,,,,보유중,,,sv9a -「열풍의 아레나」,0
0g6rKGsBO2piw56mCgI1,,TRUE,SAR,https://mtg-kr.com/cardimage/poketcgSV1a-098.png,SV1a-098,웨이니발 ex,,,보유중,,,sv1a -「트리플렛비트」,0
0g8hLF3PiyUjutAi3fsK,,TRUE,SR,https://mtg-kr.com/cardimage/poketcgS10a-087.png,S10a-087,월로,,,미보유,,,s10a -「다크판타스마」,0
0hSoZXM67oVGI4kjPW5t,,TRUE,AR,https://mtg-kr.com/cardimage/poketcgSV3a-074.png,SV3a-074,,포켓몬,,보유중,,,sv3a -「레이징서프」,0
0n0yTMGgv3CpH8u687EP,501,TRUE,AR,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_102.png,SV11W-102,수댕이,포켓몬,,보유중,,,sv11W -「화이트플레어」,0
0p6B6g19xke1OwKxzemK,,TRUE,AR,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_088.png,SV11W-088,두르쿤,포켓몬,,보유중,,,sv11W -「화이트플레어」,0
0pJbJaSPkp9jZrZFjyzI,,TRUE,SAR,https://mtg-kr.com/cardimage/poketcgSV5M-094.png,SV5M-094,무쇠감투 ex,포켓몬,,미보유,,,sv5M -「사이버저지」,0
0seyeelA2ksRUVOnO31u,,TRUE,AR,https://mtg-kr.com/cardimage/poketcgSV6a-067.png,SV6a-067,,포켓몬,,보유중,,,sv6a -「나이트원더러」,0
11SBBXSaiiMlH2IDMjrZ,1008,TRUE,SR,https://mtg-kr.com/cardimage/poketcgSV1V-094.png,SV1V-094,,,,보유중,,,sv1V -「바이올렛 ex」,0
132HXtmClZ2cfTBMw00a,,TRUE,UR,https://mtg-kr.com/cardimage/poketcgSV8a-237.png,SV8a-237,,,,미보유,,,sv8a -「테라스탈 페스타 ex」,0
14ya22rnPo3q3793E1Fk,,TRUE,SR,https://mtg-kr.com/cardimage/poketcgM1L-084.png,M1L-084,풍선,,,미보유,,,m1L -「메가 브레이브」,0
15qMnRy63eJf4icr51Cz,,,CHR,https://mtg-kr.com/cardimage/poketcgS8b-207.png,S8b-207,가라르 가로막구리,포켓몬,,보유중,,,s8b -「VMAX 클라이맥스」,0
15wonrS44UrEan0oaTht,,TRUE,AR,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_074.png,SV4M-074,강철톤,포켓몬,,보유중,,,sv4M -「미래의 일섬」,0
18oHM1C87rBx8eGJap1d,,TRUE,SR,https://mtg-kr.com/cardimage/poketcgSV5M-092.png,SV5M-092,,,,미보유,,,sv5M -「사이버저지」,0
19wgLigSy4MGyjSo02va,,TRUE,S,https://mtg-kr.com/cardimage/poketcgSM8b-186.png,SM8b-186,,,,미보유,,,sm8b -「울트라샤이니」,0
1AspOQOww6dpnR7cNcX1,,TRUE,SR,https://mtg-kr.com/cardimage/poketcgSV9-115.png,SV9-115,릴리에의 삐삐 ex,,,보유중,,,sv9 -「배틀파트너즈」,0
1DpPkUJBO27VWr7BnKXX,,,SR,https://mtg-kr.com/cardimage/poketcgS8-109.png,S8-109,,,,,,,s8 -「퓨전아츠」,0
1JKIEwRqxoi8eaPVj0d2,,TRUE,SR,https://mtg-kr.com/cardimage/poketcgSV6a-085.png,SV6a-085,,,,미보유,,,sv6a -「나이트원더러」,0
1K9Gxnv490JGsJeWp4X8,,TRUE,SR,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11W/SV11W_161.png,SV11W-161,,,,미보유,,,sv11W -「화이트플레어」,0
1KVcV3PQsqSdvZ2MSiiv,,TRUE,SAR,https://mtg-kr.com/cardimage/poketcgS12a-244.png,S12a-244,체렌의 배려심,서포트,,보유중,,,s12a -「VSTAR 유니버스」,0
1LdzbLnMu5oFWinG3rtT,,TRUE,AR,https://mtg-kr.com/cardimage/poketcgSV6a-066.png,SV6a-066,,포켓몬,,보유중,,,sv6a -「나이트원더러」,0
1LqNhkjzoL8bAYAUbnMd,,TRUE,SR,https://mtg-kr.com/cardimage/poketcgS9-104.png,S9-104,,,,미보유,,,s9 -「스타버스」,0
1MIp9l5c7hsqKBFFAFPJ,,TRUE,AR,https://mtg-kr.com/cardimage/poketcgM2-086.png,M2-086,멍파치,포켓몬,,보유중,,,m2 -「인페르노X」,0
1MoXWs6Dv0EspQBMl7Xs,,TRUE,SAR,https://mtg-kr.com/cardimage/poketcgSV8-133.png,SV8-133,삼삼드래 ex,,,미보유,,,sv8 -「초전브레이커」,0
1N160iXOp6zeOoqpDZsS,132,,AR,https://mtg-kr.com/cardimage/poketcgS12a-197.png,S12a-197,메타몽,포켓몬,,보유중,,,s12a -「VSTAR 유니버스」,0
1N9CKsz48lT7xS0bMm6d,357,TRUE,AR,https://mtg-kr.com/cardimage/poketcgSV1a-074.png,SV1a-074,트로피우스,포켓몬,,보유중,,,sv1a -「트리플렛비트」,0
1ULY0GgDNKNT3rztKUmd,,TRUE,SAR,https://mtg-kr.com/cardimage/poketcgS12a-223.png,S12a-223,테오키스 Vstar,,,미보유,,,s12a -「VSTAR 유니버스」,0
1W6rA6X5s6oy8CjdTBkk,,TRUE,AR,https://mtg-kr.com/cardimage/poketcgM2-084.png,M2-084,쥬레곤,포켓몬,,보유중,,,m2 -「인페르노X」,0
1WuoaBhT2fuBC3dXgy6c,,TRUE,SAR,https://mtg-kr.com/cardimage/poketcgSV4a-353.png,SV4a-353,모야모,서포트,,미보유,,,sv4a -「샤이니트레저 ex」,0
1XYJfUwa6wStjv9kbDD1,570,TRUE,AR,https://mtg-kr.com/cardimage/poketcgSV9-108.png,SV9-108,N의 조로아,포켓몬,,보유중,,,sv9 -「배틀파트너즈」,0
