raw_database_id,pokedexNumber,cardName,status,createdAt,imageUrl,rarity,type,series,possessions,cardNumber,isLegacy,language,price
015qT1zGk2QFhkV8mvwd,,,미보유,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM10B/SM10B_057.png,SR,포켓몬,sm10b -「스카이레전드」,,SM10b-057,,,0
01JCRXnFUtYpA1IcGupN,,쥬피썬더,보유중,,https://mtg-kr.com/cardimage/poketcgS8b-193.png,CHR,포켓몬,s8b -「VMAX 클라이맥스」,,S8b-193,TRUE,,0
03Qafj1XOrufcq01i1e0,,,미보유,,https://mtg-kr.com/cardimage/poketcgSM8b-174.png,S,,sm8b -「울트라샤이니」,,SM8b-174,TRUE,,0
04MOo9qBCSIKlHVoJDGT,,야부엉,보유중,,https://mtg-kr.com/cardimage/poketcgSV7-114.png,AR,포켓몬,sv7 -「스텔라미라클」,,SV7-114,TRUE,,0
05riiGDaqzPqlE0fcIKT,,,보유중,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,AR,포켓몬,sv11B -「블랙볼트」,,SV11B-136,TRUE,,0
06oXw64Iwj60XJi5gv2M,,몰드류 ex,미보유,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_171.png,SAR,,sv11B -「블랙볼트」,,SV11B-171,TRUE,,0
08Np7GAz9kiJqAh5BIzf,5,리자드,보유중,,https://mtg-kr.com/cardimage/poketcgSV2a-169.png,AR,포켓몬,sv2a -「포켓몬 카드 151」,,SV2a-169,TRUE,한국,0
0EWLGt6q7odCSfNgytTc,,원규,미보유,,https://mtg-kr.com/cardimage/poketcgS9a-081.png,SR,,s9a -「배틀리전」,,S9a-081,TRUE,,0
0G4DhsQLWk4hmcPT0m6r,,대로트&야느와르몽 GX,,,https://mtg-kr.com/cardimage/poketcgSM12a-179.png,SR,,sm12a -「TAG TEAM GX 태그올스타즈」,,SM12a-179,,,0
0IEuXGbaLjCTCob9ZqaX,,지니어,미보유,,https://mtg-kr.com/cardimage/poketcgSV1S-105.png,SAR,포켓몬,sv1S -「스칼렛 ex」,,SV1S-105,TRUE,,0
0KwqiNogOhStQHi6IFUr,,M거북왕 EX,미보유,,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_106.jpg,SR,포켓몬,XY BREAK 확장팩 BASE PACK 20th Anniversary,,106/100,,,0
0M6F8TFys1SUc9hz4sBs,906,나오하,보유중,,https://mtg-kr.com/cardimage/poketcgSV1a-075.png,AR,포켓몬,sv1a -「트리플렛비트」,,SV1a-075,,,0
0OC56UKbQjV6KnduUUh3,,비주기의 카리스마,미보유,,https://mtg-kr.com/cardimage/poketcgSV2a-207.png,SAR,,sv2a -「포켓몬 카드 151」,,SV2a-207,TRUE,,0
0Q5mpVm9INUhtdGCrapF,,,미보유,,https://mtg-kr.com/cardimage/poketcgS10P-081.png,HR,,s10P -「스페이스 저글러」,,S10P-081,TRUE,,0
0VMP4nOcVJUfWRrVB0Xh,,강철톤,미보유,,https://mtg-kr.com/cardimage/poketcgSM11b-060.png,CHR,포켓몬,sm11b -「드림리그」,,SM11b-060,,한국,0
0ZSC8GYHVN7ad63SGxpC,,무쇠손 ex,미보유,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV4M/SV4M_088.png,SAR,포켓몬,sv4M -「미래의 일섬」,,SV4M-088,TRUE,,0
0bP5YLDuCKlvFxX8HMrN,644,제크로무 ex,보유중,,https://mtg-kr.com/cardimage/poketcgSV11B-174.png,BWR,포켓몬,sv11B -「블랙볼트」,,SV11B-174,TRUE,한국,0
