raw_database_id,possessions,pokedexNumber,price,rarity,createdAt,cardNumber,series,language,cardName,imageUrl,status,isLegacy,type
015qT1zGk2QFhkV8mvwd,,,0,SR,,SM10b-057,sm10b -「스카이레전드」,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SM/SM10B/SM10B_057.png,미보유,,포켓몬
01JCRXnFUtYpA1IcGupN,,,0,CHR,,S8b-193,s8b -「VMAX 클라이맥스」,,쥬피썬더,https://mtg-kr.com/cardimage/poketcgS8b-193.png,보유중,TRUE,포켓몬
03Qafj1XOrufcq01i1e0,,,0,S,,SM8b-174,sm8b -「울트라샤이니」,,,https://mtg-kr.com/cardimage/poketcgSM8b-174.png,미보유,TRUE,
04MOo9qBCSIKlHVoJDGT,,,0,AR,,SV7-114,sv7 -「스텔라미라클」,,야부엉,https://mtg-kr.com/cardimage/poketcgSV7-114.png,보유중,TRUE,포켓몬
05riiGDaqzPqlE0fcIKT,,,0,AR,,SV11B-136,sv11B -「블랙볼트」,,,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_136.png,보유중,TRUE,포켓몬
06oXw64Iwj60XJi5gv2M,,,0,SAR,,SV11B-171,sv11B -「블랙볼트」,,몰드류 ex,https://cards.image.pokemonkorea.co.kr/data/wmimages/SV/SV11B/SV11B_171.png,미보유,TRUE,
08Np7GAz9kiJqAh5BIzf,,5,0,AR,,SV2a-169,sv2a -「포켓몬 카드 151」,한국,리자드,https://mtg-kr.com/cardimage/poketcgSV2a-169.png,보유중,TRUE,포켓몬
0EWLGt6q7odCSfNgytTc,,,0,SR,,S9a-081,s9a -「배틀리전」,,원규,https://mtg-kr.com/cardimage/poketcgS9a-081.png,미보유,TRUE,
0G4DhsQLWk4hmcPT0m6r,,,0,SR,,SM12a-179,sm12a -「TAG TEAM GX 태그올스타즈」,,대로트&야느와르몽 GX,https://mtg-kr.com/cardimage/poketcgSM12a-179.png,,,
0IEuXGbaLjCTCob9ZqaX,,,0,SAR,,SV1S-105,sv1S -「스칼렛 ex」,,지니어,https://mtg-kr.com/cardimage/poketcgSV1S-105.png,미보유,TRUE,포켓몬
0KwqiNogOhStQHi6IFUr,,,0,SR,,106/100,XY BREAK 확장팩 BASE PACK 20th Anniversary,,M거북왕 EX,https://cards.image.pokemonkorea.co.kr/data/wmimages/XY/CP6/CP6_106.jpg,미보유,,포켓몬
0M6F8TFys1SUc9hz4sBs,,906,0,AR,,SV1a-075,sv1a -「트리플렛비트」,,나오하,https://mtg-kr.com/cardimage/poketcgSV1a-075.png,보유중,,포켓몬
0OC56UKbQjV6KnduUUh3,,,0,SAR,,SV2a-207,sv2a -「포켓몬 카드 151」,,비주기의 카리스마,https://mtg-kr.com/cardimage/poketcgSV2a-207.png,미보유,TRUE,
0Q5mpVm9INUhtdGCrapF,,,0,HR,,S10P-081,s10P -「스페이스 저글러」,,,https://mtg-kr.com/cardimage/poketcgS10P-081.png,미보유,TRUE,
